,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NET STATE DOMESTIC PRODUCT AT FACTOR COST - STATE-WISE(At Constant Prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Base Year : 1980-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Rupees Crore),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,YEAR,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU & KASHMIR,KARNATAKA,KERALA,MADHYA PRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,NAGALAND,ORISSA,PUNJAB,RAJASTHAN,SIKKIM,TAMIL NADU,TRIPURA,UTTAR PRADESH,WEST BENGAL,ANDAMAN & NICOBAR ISLANDS,DELHI,PUDUCHERRY,,,,,,
,1980-81   ,7324,98,2298,6349,315,6547,3032,723,1050,5587,3823,7012,15163,200,180,105,3443,4449,4126,49,7218,264,14012,9594,49,2455,167,,,,,,
,1981-82   ,8510,113,2558,6704,292,7198,3145,768,1074,5957,3775,7191,15519,211,187,125,3437,4872,4478,52,8011,261,14348,9335,52,2655,169,,,,,,
,1982-83   ,8660,116,2676,6766,336,7090,3341,741,1109,6102,3869,7511,16116,214,190,143,3232,5015,4570,59,7578,287,15469,9704,50,2990,183,,,,,,
,1983-84   ,9022,125,2793,7422,340,8451,3412,777,1145,6536,3712,7899,17128,233,195,146,3885,5105,5611,61,7988,279,16076,10857,58,2919,185,,,,,,
,1984-85   ,8749,137,2807,8117,353,8446,3545,733,1202,7023,3942,7516,17348,243,205,151,3700,5502,5208,69,9033,287,16331,11145,56,3040,195,,,,,,
,1985-86   ,9303,154,2992,8293,338,8214,4181,831,1230,6733,4086,8172,18714,256,214,154,4127,5924,5187,76,9391,290,16971,11611,63,3520,204,,,,,,
,1986-87   ,9050,165,2907,8950,354,8720,4184,892,1246,7365,3993,7809,18969,261,218,171,4184,6131,5685,89,9310,307,17706,12072,66,3748,217,,,,,,
,1987-88   ,10274,175,3037,8455,393,7749,4110,894,1110,7883,4166,8876,20248,282,237,192,4054,6450,5291,108,9893,347,18506,12720,70,4079,219,,,,,,
,1988-89   ,12029,190,3060,9523,477,10873,5111,1005,1257,8563,4584,9527,22362,295,240,207,4907,6792,7477,115,10733,390,20919,13264,77,4429,229,,,,,,
,1989-90   ,12986,195,3286,9365,498,10681,5178,1123,1285,9046,4892,9725,26051,299,275,215,5234,7365,7324,123,11468,416,21501,13735,77,4838,240,,,,,,
,1990-91   ,13580,231,3426,10253,568,10839,5719,1151,1360,9112,5262,11107,27224,316,304,238,4345,7505,8473,135,12423,447,22780,14458,74,5046,254,,,,,,
,1991-92   ,14342,264,3577,9673,566,9944,5837,1157,1390,10270,5365,10306,27139,343,319,248,4897,7845,7823,144,12755,459,22873,15590,68,5814,238,,,,,,
,1992-93   ,13955,271,3613,9100,649,13144,5835,1210,1452,10508,5752,11062,31243,359,300,283,4814,8215,8996,-,13413,476,23119,16054,89,6017,208,,,,,,
,1993-94   ,15543,310,3754,9320,676,12741,6098,1257,1522,11291,6347,12240,34688,367,321,288,5124,8574,8263,-,14583,529,23692,17221,99,6433,235,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Base Year : 1993-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Rupees Crore),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,YEAR,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,CHHATTISGARH,MAHARASHTRA,MANIPUR,MEGHALAYA,NAGALAND,ORISSA,PUNJAB,RAJASTHAN,SIKKIM,TAMIL NADU,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL,ANDAMAN & NICOBAR ISLANDS,CHANDIGARH,DELHI,PUDUCHERRY,,
,1993-94   ,51655,812,13477,20780,2002,42560,19422,4250,5500,13403,36982,23851,33937,12163,101767,1141,1309,1251,16185,27068,28977,364,51643,1619,70935,5109,48398,468,1371,18967,829,,
,1994-95   ,54564,796,13796,23163,2080,51104,20835,4664,5745,13964,38917,25908,34529,12181,103743,1110,1353,1348,16974,27746,34269,368,57943,1601,74635,5564,51761,517,1505,21250,835,,
,1995-96   ,57951,915,14125,19582,2225,52629,21254,4921,6031,14309,40974,26947,36601,12496,115188,1147,1508,1445,17749,28771,35530,402,59861,1733,77046,5509,55631,507,1665,21621,870,,
,1996-97   ,61955,860,14467,24569,2602,60653,23759,5199,6321,13460,44737,28026,39057,13041,119732,1258,1561,1547,16524,30890,39682,429,62316,1923,85597,5856,59496,545,1896,24596,1212,,
,1997-98   ,60321,884,14704,23404,2628,60647,23965,5571,6652,17616,47517,28633,41101,13551,126339,1374,1662,1684,18902,31726,44509,461,67822,2132,84686,5927,64484,581,2012,28582,1590,,
,1998-99   ,68036,910,14574,24879,3285,64921,25243,5966,7005,19167,53961,30604,43815,13882,131368,1396,1842,1605,19482,33552,46457,494,70505,2333,85310,5999,68598,535,2188,30016,1795,,
,1999-00   ,70904,948,15078,26137,3334,65163,27064,6622,7270,18228,56543,32785,48415,13719,143863,1581,1999,1614,20717,35327,46574,508,74685,2532,91201,6001,73528,582,2337,31451,1837,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Base Year : 1999-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Rupees Crore),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,YEAR,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,CHHATTISGARH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ORISSA,PUNJAB,RAJASTHAN,SIKKIM,TAMIL NADU,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL,ANDAMAN & NICOBAR ISLANDS,CHANDIGARH,DELHI,PUDUCHERRY,
,1999-00   ,116360,1497,32011,46071,5570,92541,47329,12467,13533,30229,90532,61359,72655,23840,217198,2954,3211,1410,2610,38399,61139,74174,765,119704,4496,156809,11187,125299,838,3792,51175,2893,
,2000-01   ,126035,1607,32821,53656,5287,86431,51090,13262,13917,26663,91136,62909,66750,22372,210526,2765,3422,1463,3052,37386,63172,71764,814,126349,4778,160015,12582,129691,838,4274,53177,3305,
,2001-02   ,131750,1864,33668,50579,5492,93455,55036,13938,14185,28500,92788,66052,71525,25503,217963,2937,3651,1555,3402,39662,63995,79936,881,123901,5433,162926,13179,139057,857,4649,55222,3529,
